1: (KEYWORD, "start")
2: (KEYWORD, "define")
3: (IDENTIFIER, "@totalPairs")
4: (KEYWORD, "as")
5: (DATA_TYPE, "integer")
6: (ASSIGN, "=")
7: (NUMBER, "0")
8: (DELIMITER, ";")
9: (KEYWORD, "define")
10: (IDENTIFIER, "@totalInPairs")
11: (KEYWORD, "as")
12: (DATA_TYPE, "integer")
13: (ASSIGN, "=")
14: (NUMBER, "0")
15: (DELIMITER, ";")
16: (KEYWORD, "define")
17: (IDENTIFIER, "@totalNumbersMultiplesOf3")
18: (ASSIGN, "=")
19: (NUMBER, "0")
20: (DELIMITER, ";")
21: (KEYWORD, "define")
22: (IDENTIFIER, "@totalNumbersMultiplied")
23: (KEYWORD, "as")
24: (DATA_TYPE, "integer")
25: (ASSIGN, "=")
26: (NUMBER, "0")
27: (DELIMITER, ";")
28: (KEYWORD, "define")
29: (IDENTIFIER, "@totalNumbers")
30: (KEYWORD, "as")
31: (DATA_TYPE, "integer")
32: (ASSIGN, "=")
33: (NUMBER, "10")
34: (DELIMITER, ";")
35: (KEYWORD, "define")
36: (IDENTIFIER, "@i")
37: (KEYWORD, "as")
38: (DATA_TYPE, "integer")
39: (DELIMITER, ";")
40: (KEYWORD, "for")
41: (ASSIGN, "=")
42: (NUMBER, "1")
43: (KEYWORD, "to")
44: (IDENTIFIER, "@totalNumbers")
45: (TWO_POINTS, ":")
46: (KEYWORD, "if")
47: (LEFT_PARENTHESIS, "(")
48: (IDENTIFIER, "@i")
49: (OPERATOR, "%")
50: (NUMBER, "2")
51: (RELATIONAL_OPERATOR, "==")
52: (NUMBER, "0")
53: (RIGHT_PARENTHESIS, ")")
54: (TWO_POINTS, ":")
55: (ASSIGN, "=")
56: (IDENTIFIER, "@totalPairs")
57: (OPERATOR, "+")
58: (NUMBER, "1")
59: (DELIMITER, ";")
60: (KEYWORD, "if")
61: (LEFT_PARENTHESIS, "(")
62: (IDENTIFIER, "@i")
63: (OPERATOR, "%")
64: (NUMBER, "3")
65: (RELATIONAL_OPERATOR, "equalto")
66: (RIGHT_PARENTHESIS, ")")
67: (TWO_POINTS, ":")
68: (IDENTIFIER, "@totalNumbersMultiplesOf3")
69: (ASSIGN, "=")
70: (IDENTIFIER, "@totalNumbersMultiplesOf3")
71: (OPERATOR, "+")
72: (NUMBER, "1")
73: (DELIMITER, ";")
74: (KEYWORD, "print")
75: (LEFT_PARENTHESIS, "(")
76: (INLINE_TEXT, ""El número "")
77: (OPERATOR, "+")
78: (IDENTIFIER, "@i")
79: (OPERATOR, "+")
80: (INLINE_TEXT, "" es par y es múltiplo de 3"")
81: (RIGHT_PARENTHESIS, ")")
82: (DELIMITER, ";")
83: (KEYWORD, "elif")
84: (TWO_POINTS, ":")
85: (KEYWORD, "print")
86: (LEFT_PARENTHESIS, "(")
87: (INLINE_TEXT, ""El número "")
88: (OPERATOR, "+")
89: (IDENTIFIER, "@i")
90: (OPERATOR, "+")
91: (INLINE_TEXT, "" es par"")
92: (RIGHT_PARENTHESIS, ")")
93: (DELIMITER, ";")
94: (KEYWORD, "end")
95: (KEYWORD, "elif")
96: (TWO_POINTS, ":")
97: (IDENTIFIER, "@totalInPairs")
98: (ASSIGN, "=")
99: (IDENTIFIER, "@totalInPairs")
100: (OPERATOR, "+")
101: (NUMBER, "1")
102: (DELIMITER, ";")
103: (KEYWORD, "if")
104: (LEFT_PARENTHESIS, "(")
105: (IDENTIFIER, "@i")
106: (OPERATOR, "%")
107: (NUMBER, "3")
108: (RELATIONAL_OPERATOR, "equalto")
109: (NUMBER, "0")
110: (RIGHT_PARENTHESIS, ")")
111: (TWO_POINTS, ":")
112: (IDENTIFIER, "@totalNumbersMultiplesOf3")
113: (ASSIGN, "=")
114: (IDENTIFIER, "@totalNumbersMultiplesOf3")
115: (OPERATOR, "+")
116: (NUMBER, "1")
117: (DELIMITER, ";")
118: (KEYWORD, "print")
119: (LEFT_PARENTHESIS, "(")
120: (INLINE_TEXT, ""El número "")
121: (OPERATOR, "+")
122: (IDENTIFIER, "@i")
123: (OPERATOR, "+")
124: (INLINE_TEXT, "" es impar y es múltiplo de 3"")
125: (RIGHT_PARENTHESIS, ")")
126: (DELIMITER, ";")
127: (KEYWORD, "elif")
128: (TWO_POINTS, ":")
129: (KEYWORD, "print")
130: (LEFT_PARENTHESIS, "(")
131: (INLINE_TEXT, ""El número "")
132: (OPERATOR, "+")
133: (IDENTIFIER, "@i")
134: (OPERATOR, "+")
135: (INLINE_TEXT, "" es impar"")
136: (RIGHT_PARENTHESIS, ")")
137: (DELIMITER, ";")
138: (KEYWORD, "end")
139: (KEYWORD, "end")
140: (KEYWORD, "end")
141: (IDENTIFIER, "@i")
142: (ASSIGN, "=")
143: (NUMBER, "1")
144: (DELIMITER, ";")
145: (KEYWORD, "while")
146: (LEFT_PARENTHESIS, "(")
147: (IDENTIFIER, "@i")
